tick,phi_total,threat_delta,pc_N,wormhole_P,omega_coherency,omega_entangle,omega_novelty,ring_state,continuity_ok,action
478,0.9399,0.0976,0.2185,0.6195,239.1137,336.1876,144.5622,1.0063,True,REWRITE:Ω_FRAME
479,0.9729,0.0769,0.6797,0.6983,239.6187,336.8402,144.8791,1.0275,True,REWRITE:Ω_FRAME
480,0.9544,0.32,0.3479,0.4715,240.1166,337.5963,145.1471,1.0567,True,REWRITE:Ω_FRAME
481,0.9473,0.2022,0.3478,0.6818,240.6636,338.3032,145.3897,1.1088,True,REWRITE:Ω_FRAME
482,0.949,0.0624,0.5005,0.9861,241.0895,338.9999,145.6824,1.1808,True,REWRITE:Ω_FRAME
483,0.9409,0.0121,0.4657,0.9329,241.488,339.7032,145.9421,1.1847,True,REWRITE:Ω_FRAME
484,0.9448,0.3798,0.3475,0.0068,241.984,340.3926,146.2604,1.1639,True,REWRITE:Ω_FRAME
485,0.9549,0.1768,0.5073,0.9314,242.5012,341.1438,146.5775,1.1617,True,REWRITE:Ω_FRAME
486,0.9568,0.0058,0.218,0.9922,243.0126,341.9391,146.865,1.1589,True,REWRITE:Ω_FRAME
487,0.9481,0.2961,0.448,0.3984,243.5598,342.6565,147.2038,1.1183,True,REWRITE:Ω_FRAME
488,0.9602,0.0065,0.347,0.1651,244.008,343.369,147.5357,1.0945,True,REWRITE:Ω_FRAME
489,0.9629,0.2768,0.5651,0.715,244.5547,344.0721,147.8395,1.0794,True,REWRITE:Ω_FRAME
490,0.9639,0.0418,0.2177,0.2065,245.023,344.7645,148.088,1.1099,True,REWRITE:Ω_FRAME
491,0.9645,0.0666,0.5647,0.5927,245.543,345.4169,148.4099,1.095,True,REWRITE:Ω_FRAME
492,0.9691,0.132,0.3466,0.8149,245.9815,346.1379,148.7004,1.1098,True,REWRITE:Ω_FRAME
493,0.9765,0.043,0.4987,0.5179,246.4922,346.8792,149.0669,1.1525,True,REWRITE:Ω_FRAME
494,0.9877,0.358,0.5641,0.8817,247.0996,347.5861,149.3385,1.1505,True,REWRITE:Ω_FRAME
495,0.9904,0.0023,0.4792,0.956,247.6729,348.3895,149.6726,1.113,True,REWRITE:Ω_FRAME
496,0.9819,0.0544,0.3461,0.978,248.1203,349.13,149.9676,1.0935,True,REWRITE:Ω_FRAME
497,0.9691,0.0029,0.498,1.0,248.6461,349.8789,150.2997,1.1072,True,REWRITE:Ω_FRAME
498,0.968,0.0128,0.2171,0.3059,249.0938,350.5839,150.6,1.0557,True,REWRITE:Ω_FRAME
499,0.9659,0.0602,0.505,0.3146,249.6146,351.2663,150.8854,1.0452,True,REWRITE:Ω_FRAME
